station_id,city,province
STN_佛肇,佛山市,广东省
STN_佟家,丹东市,辽宁省
STN_佳木斯,佳木斯市,黑龙江省
STN_佳木斯西,佳木斯市,黑龙江省
STN_依兰,哈尔滨市,黑龙江省
STN_依吞布拉克,巴音郭楞蒙古自治州,新疆维吾尔自治区
STN_依安,齐齐哈尔市,黑龙江省
STN_侯家坪,资阳市,四川省
STN_侯杖子,朝阳市,辽宁省
STN_侯马,临汾市,山西省
STN_侯马北,临汾市,山西省
STN_侯马西,临汾市,山西省
STN_保健,乌兰察布市,内蒙古自治区
STN_保定,保定市,河北省
STN_保定东,保定市,河北省
STN_保家楼,重庆市,重庆市
STN_保山,保山市,云南省
STN_保平所,成都市,四川省
STN_保康,通辽市,内蒙古自治区
STN_保康县,襄阳市,湖北省
STN_保德,忻州市,山西省
STN_保田,六盘水市,贵州省
STN_俞冲,自贡市,四川省
STN_信丰,赣州市,江西省
STN_信丰西,赣州市,江西省
STN_信宜,茂名市,广东省
STN_信阳,信阳市,河南省
STN_信阳东,信阳市,河南省
STN_信阳北,信阳市,河南省
STN_信阳西,信阳市,河南省
STN_修文,晋中市,山西省
STN_修文县,贵阳市,贵州省
STN_修武,焦作市,河南省
STN_修武西,焦作市,河南省
STN_倭肯,七台河市,黑龙江省
STN_偃师,洛阳市,河南省
STN_偏岭,本溪市,辽宁省
STN_偏岭镇,鞍山市,辽宁省
STN_偏店,邯郸市,河北省
STN_元坝,广元市,四川省
STN_元宝山,赤峰市,内蒙古自治区
STN_元氏,石家庄市,河北省
STN_元江,玉溪市,云南省
STN_元田坝,遵义市,贵州省
STN_元谋,楚雄彝族自治州,云南省
STN_元谋西,楚雄彝族自治州,云南省
STN_元龙,天水市,甘肃省
STN_先锋,长沙市,湖南省
STN_先锋营,攀枝花市,四川省
STN_光国村所,重庆市,重庆市
STN_光山,信阳市,河南省
STN_光明,齐齐哈尔市,黑龙江省
STN_光明城,深圳市,广东省
STN_光泽,南平市,福建省
STN_光辉,通化市,吉林省
STN_克一河,呼伦贝尔市,内蒙古自治区
STN_克东,齐齐哈尔市,黑龙江省
STN_克山,齐齐哈尔市,黑龙江省
STN_克拉玛依,克拉玛依市,新疆维吾尔自治区
STN_免渡河,呼伦贝尔市,内蒙古自治区
STN_兑镇,吕梁市,山西省
STN_兖州,济宁市,山东省
STN_党家庄,济南市,山东省
STN_党武,贵阳市,贵州省
STN_全州南,桂林市,广西壮族自治区
STN_全椒,滁州市,安徽省
STN_八仙筒,通辽市,内蒙古自治区
STN_八家子,延边朝鲜族自治州,吉林省
STN_八岭山所,荆门市,湖北省
STN_八斗岭,合肥市,安徽省
STN_八方,齐齐哈尔市,黑龙江省
STN_八方山,长沙市,湖南省
STN_八步,毕节市,贵州省
STN_八渡,黔西南布依族苗族自治州,贵州省
STN_八盘峡,兰州市,甘肃省
STN_八苏木,乌兰察布市,内蒙古自治区
STN_八虎力,佳木斯市,黑龙江省
STN_八角台,锦州市,辽宁省
STN_八达岭,北京市,北京市
STN_八达岭西所,北京市,北京市
STN_八达岭长城,北京市,北京市
STN_八都,吉安市,江西省
STN_八里,成都市,四川省
STN_八里甸子,本溪市,辽宁省
STN_八面城,铁岭市,辽宁省
STN_八面通,牡丹江市,黑龙江省
STN_公主岭,长春市,吉林省
STN_公主岭南,长春市,吉林省
STN_公兴,成都市,四川省
STN_公庙子,巴彦淖尔市,内蒙古自治区
STN_公积坂,包头市,内蒙古自治区
STN_公营子,朝阳市,辽宁省
STN_六个鸡,黔东南苗族侗族自治州,贵州省
STN_六合,南京市,江苏省
STN_六合镇,齐齐哈尔市,黑龙江省
STN_六地沟,赤峰市,内蒙古自治区
STN_六安,六安市,安徽省
STN_六枝,六盘水市,贵州省
STN_六枝南,六盘水市,贵州省
STN_六盘山,固原市,宁夏回族自治区
STN_六盘水,六盘水市,贵州省
STN_六盘水东,六盘水市,贵州省
STN_六盘水南,六盘水市,贵州省
STN_六道河,吉林市,吉林省
STN_六道河子,承德市,河北省
STN_兰家,锦州市,辽宁省
STN_兰家屯,沈阳市,辽宁省
STN_兰岗,牡丹江市,黑龙江省
STN_兰岭,鸡西市,黑龙江省
STN_兰州,兰州市,甘肃省
STN_兰州东,兰州市,甘肃省
STN_兰州新区,兰州市,甘肃省
STN_兰州西,兰州市,甘肃省
STN_兰店,大连市,辽宁省
STN_兰棱,哈尔滨市,黑龙江省
STN_兰溪,金华市,浙江省
STN_兰溪东,金华市,浙江省
STN_兰考,开封市,河南省
STN_兰考南,开封市,河南省
STN_兰花坡所,贵阳市,贵州省
STN_兰陵北,临沂市,山东省
STN_共和,乐山市,四川省
STN_共青城,九江市,江西省
STN_关寨,六盘水市,贵州省
STN_关岭,安顺市,贵州省
STN_关村坝,乐山市,四川省
STN_关林,洛阳市,河南省
STN_关碾房,鄂尔多斯市,内蒙古自治区
STN_兴业,玉林市,广西壮族自治区
STN_兴业南,玉林市,广西壮族自治区
STN_兴义,黔西南布依族苗族自治州,贵州省
STN_兴义南,黔西南布依族苗族自治州,贵州省
STN_兴凯,鸡西市,黑龙江省
STN_兴发村所,常德市,湖南省
STN_兴和,乌兰察布市,内蒙古自治区
STN_兴和北,乌兰察布市,内蒙古自治区
STN_兴和西,乌兰察布市,内蒙古自治区
STN_兴国,赣州市,江西省
STN_兴国西,赣州市,江西省
STN_兴城,葫芦岛市,辽宁省
STN_兴城西,葫芦岛市,辽宁省
STN_兴宁,梅州市,广东省
STN_兴宁南,梅州市,广东省
STN_兴安北,桂林市,广西壮族自治区
STN_兴安岭,呼伦贝尔市,内蒙古自治区
STN_兴山,宜昌市,湖北省
STN_兴平,咸阳市,陕西省
STN_兴文,宜宾市,四川省
STN_兴文南,宜宾市,四川省
STN_兴无,大庆市,黑龙江省
STN_兴泉堡,白银市,甘肃省
STN_兴福,绥化市,黑龙江省
STN_兴莲,佳木斯市,黑龙江省
STN_兴隆县,承德市,河北省
STN_兴隆县西,承德市,河北省
STN_兴隆场,重庆市,重庆市
STN_兴隆山,长春市,吉林省
STN_兴隆店,沈阳市,辽宁省
STN_兴隆河,抚顺市,辽宁省
